OCC_NO,OCC_YEAR,OCC_DATE,CLASS_ID,OCC_TYPE,ACC_INC_TYPE,PROVINCE,LOCATION,TERRAIN_TYPE,FACILITY_NAME,FACILITY_TYPE,PIPELINE_CO,PIPELINE_TYPE_CO,PROD_RELEASED_IND,PRODUCT_TYPE,QUANTITY_LOST,DETECTION_METHOD,LOCATION_ON_PIPELINE,ENVIRO_DAMAGE_IND,PROPERTY_DAMAGE_IND,FIRE_IND,EXPLOSION_IND,NO_EVACUATED,FATALITIES,SERIOUS_INJURIES,PRODUCTION_DT
P12H0078,2012,2012-04-09,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,ALBERTA,HARDISTY,STATION PROPERTY,HARDISTY TERMINAL,TERMINAL,KEYSTONE PIPELINE (TRANSCANADA),LVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,VALVE STEM PACKING,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0079,2012,2012-04-12,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,SASKATCHEWAN,CARON,STATION PROPERTY,CARON PUMP STATION NO. 15,PUMP STATION,KEYSTONE PIPELINE (TRANSCANADA),LVP,YES,PETROLEUM CRUDE OIL,0.14,PIPELINE EMPLOYEE,PIG LAUNCHER SEAL,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0080,2012,2012-04-13,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,SASKATCHEWAN,REGINA,STATION PROPERTY,REGINA PUMP STATION NO. 17,PUMP STATION,KEYSTONE PIPELINE (TRANSCANADA),LVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,PUMP DRAIN LINE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0081,2012,2012-04-13,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,MANITOBA,CRANDALL,STATION PROPERTY,CRANDALL PUMP STATION NO. 22,PUMP STATION,KEYSTONE PIPELINE (TRANSCANADA),LVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,VALVE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0082,2012,2012-04-16,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,SASKATCHEWAN,CARON,STATION PROPERTY,CARON PUMP STATION NO. 15,PUMP STATION,KEYSTONE PIPELINE (TRANSCANADA),LVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,PUMP DRAIN PIPE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0083,2012,2012-04-17,5,INCIDENT,PUMP STATION - UNCONTAINED RELEASE,ALBERTA,HARDISTY,STATION PROPERTY,HARDISTY TERMINAL,TERMINAL,KEYSTONE PIPELINE (TRANSCANADA),LVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,RELIEF VALVE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0084,2012,2012-05-08,5,INCIDENT,LINE PIPE - UNCONTAINED RELEASE,ALBERTA,GRANDE PRAIRIE,MARGINAL LAND,GOLD CREEK LATERAL,TRANSMISSION LINE,NOVA GAS TRANSMISSION (TRANSCANADA),GAS,YES,NATURAL GAS,,PIPELINE EMPLOYEE,LINE PIPE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0085,2012,2012-05-09,5,INCIDENT,METER STATION - UNCONTAINED RELEASE,NEW BRUNSWICK,SAINT JOHN,STATION PROPERTY,IRVING TISSUE METER STATION,METER STATION,MARITIMES AND NORTHEAST PIPELINE,GAS,YES,NATURAL GAS,0.14,PIPELINE EMPLOYEE,REGULATOR,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0086,2012,2012-04-23,5,INCIDENT,OTHER FACILITY - UNCONTAINED RELEASE,ALBERTA,EDMONTON,STATION PROPERTY,EDMONTON TERMINAL,TERMINAL,ENBRIDGE PIPELINES INC. (FORMERLY IPL),LVP/HVP,YES,PETROLEUM CRUDE OIL,,PIPELINE EMPLOYEE,FLANGE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
P12H0087,2012,2012-05-02,5,INCIDENT,LINE PIPE - UNCONTAINED RELEASE,ALBERTA,VALLEYVIEW,MARGINAL LAND,WESTERN ALBERTA SYSTEM,TRANSMISSION LINE,NOVA GAS TRANSMISSION (TRANSCANADA),GAS,YES,NATURAL GAS,,PIPELINE EMPLOYEE,FLANGE,NO,NO,NO,NO,0,0,0,2017-03-15T16:18:52
